"Gene"	"TCGA_TCGA-D9-A148"	"TCGA_TCGA-DA-A3F2"	"TCGA_TCGA-EE-A2GS"	"TCGA_TCGA-EE-A3JI"	"TCGA_TCGA-ER-A2NF"	"TCGA_TCGA-ER-A2NG"	"TCGA_TCGA-FR-A3YN"	"TCGA_TCGA-FR-A3YO"	"TCGA_TCGA-FR-A69P"	"TCGA_TCGA-FR-A7U9"	"TCGA_TCGA-FR-A8YD"	"TCGA_TCGA-GN-A4U4"	"TCGA_TCGA-GN-A4U9"	"TCGA_TCGA-GN-A8LK"	"TCGA_TCGA-GN-A8LN"	"TCGA_TCGA-QB-AA9O"	"TCGA_TCGA-WE-A8K5"	"TCGA_TCGA-WE-AAA0"	"TCGA_TCGA-WE-AAA4"
"MOSPD1"	630.8023	80.3213	465.5786	1715.7107	1300.0753	381.1881	718.9409	145.3634	264.2349	337.5425	213.231	873.3663	276.2951	544.1389	453.3447	433.5737	257.9643	433.6598	180.663
"MOSPD2"	275.6208	81.3253	731.1573	923.192	306.8524	740.5358	780.6226	23.0576	424.3772	175.8135	104.5481	1313.3963	180.4291	123.0101	516.4039	68.4171	257.1873	334.8644	96.6851
"MOSPD3"	990.5302	704.8193	502.0772	300.9975	161.1446	312.7548	495.4903	1506.2657	570.7295	326.8577	1323.6858	436.507	838.0952	890.0145	624.6272	2241.8546	866.3559	206.9503	929.2818
"MOV10"	1316.7288	1454.8193	1419.2878	1700.7481	1843.3735	1056.4939	2278.1495	2194.4862	1739.7687	1621.1753	1139.3975	813.8266	1359.2883	806.0781	1030.2514	1045.3502	1118.4926	1804.6624	3029.2818
"MOV10L1"	1.989	2.008	0.5935	0.2494	1.8825	0.5824	0.291	1.0025	0.8897	0.4857	28.9427	0	3.349	2.412	0.4261	0	0.777	1.04	2.2099
"MOXD1"	2052.0966	341.3655	1210.9792	8.2294	24.0964	486.3133	372.4178	19.5489	367.4377	567.2657	202.0083	180.7329	557.6138	2899.6623	1942.9058	727.131	98.6791	214.23	317.1271
"MPDU1"	939.9523	2577.3193	1673.2997	901.01	1147.9782	1022.4287	644.1722	3578.9574	1635.6806	1817.8776	2571.772	947.3611	1185.9801	3768.9387	792.0963	2062.0607	1826.3559	750.8658	3782.326
"MPDZ"	1830.1792	76.3052	670.0297	934.9127	1665.6627	852.0676	1655.5135	64.1604	1499.1103	99.0772	846.4265	834.9649	411.5123	383.0198	737.1112	409.7073	545.4545	1036.1383	235.3591
"MPG"	1657.1348	2435.743	1460.5341	491.5212	1024.4729	3288.5847	578.4114	3418.0451	1729.9822	3271.491	1939.1613	1256.3228	493.145	1418.2344	1132.0835	1921.2487	1604.1181	2367.6228	1601.6575
"MPHOSPH10"	339.5535	128.5141	861.1276	940.1496	439.759	691.0309	578.4114	130.3258	984.4306	868.8684	161.8429	751.8208	1595.8137	514.2306	738.3894	1171.0468	880.3419	743.2186	61.8785
"MPHOSPH6"	100.5874	70.2811	305.3412	95.2618	95.6325	313.6284	242.3625	138.3459	501.3345	367.6542	72.6521	232.8742	548.8226	137.4819	346.3997	232.3	208.2362	385.822	186.1878
"MPHOSPH8"	412.0105	366.4659	784.5697	1328.6783	1222.5151	577.4607	568.5191	212.5313	1420.3737	517.2414	363.2605	1000.901	645.5259	542.2094	955.6881	575.1813	540.404	860.3865	163.5359
"MPHOSPH9"	174.7493	35.1406	275.3709	400.9975	139.6837	408.8526	216.4678	17.5439	455.9609	372.9966	44.8907	364.9889	272.5275	111.9151	134.64	67.6216	249.4172	231.2159	39.779
"MPI"	1745.5039	1108.4337	1096.4392	843.3915	1047.4398	807.8043	451.5566	3274.6867	476.8683	1033.0257	1997.6373	763.7992	322.3443	862.5181	557.7333	1142.4071	399.7669	484.964	720.9945
"MPL"	18.1853	2.008	18.3976	0.4988	10.9187	3.4945	18.9118	14.5363	2.2242	1.457	11.8133	7.0461	5.8608	3.8591	10.6519	0.7955	2.7195	4.1598	5.5249
"MPND"	831.1247	1762.0482	390.5045	376.5586	515.4367	372.7432	167.879	884.7118	320.2847	415.2501	777.909	502.3882	169.1261	839.8456	295.6966	918.0625	437.4514	230.1759	950.2762
"MPP1"	1432.9442	4048.1928	739.4659	608.7282	2121.2349	1406.523	903.1132	1502.2556	223.7544	950.9471	315.4164	976.5919	362.9513	838.8808	546.2292	537.7905	567.2106	506.803	2369.0608
"MPP2"	428.2068	66.2651	34.4214	51.1222	22.9669	54.1642	206.5755	286.7168	120.5516	21.8553	300.0591	127.887	542.9618	273.5166	115.8926	23.8664	12.0435	13.5194	121.547
"MPP3"	21.595	4.0161	18.1009	35.4115	19.9548	12.2306	75.6474	27.5689	56.9395	85.9641	41.3467	57.7782	147.776	60.2991	48.1466	7.9555	21.756	16.6392	5.5249
"MPP5"	648.1352	111.4458	492.8783	829.1771	784.262	466.2202	858.0157	69.1729	1027.5801	447.3045	279.9764	702.4979	330.7169	254.7033	583.2978	374.7032	511.655	522.7489	160.221
"MPP6"	140.3677	10.0402	122.5519	4.4888	41.7922	191.3221	46.5522	34.5865	185.0534	213.2103	85.6468	2.1138	322.763	69.4645	60.5028	39.7774	10.101	61.7038	2.7624
"MPP7"	14.2073	5.0201	1.7804	1.2469	24.0964	14.8515	3.4914	1.0025	3.5587	57.3094	8.2693	5.9892	36.0021	21.2253	0.8522	1.5911	5.439	7.6263	1.105
"MPPE1"	327.3353	390.5622	397.9228	325.6858	692.7711	343.0402	509.165	422.0551	169.9288	318.1156	466.6273	494.2852	249.9215	332.3685	387.3029	353.2234	562.9371	823.9882	412.7072
"MPPED2"	333.5865	14.0562	1486.0534	336.409	109.1867	254.8049	18.039	167.4185	237.5445	5.3424	7.088	770.493	324.8561	193.4395	135.4921	955.4533	396.2704	550.481	11.0497
"MPRIP"	3238.6869	2856.4257	4164.9852	2812.2195	4669.0512	1856.1444	1782.0774	3923.3083	2639.2349	2781.4473	5657.4129	3204.222	915.123	4221.9006	2348.9561	1744.637	4172.8827	1654.5628	5812.1547
"MPST"	1611.1033	1903.6145	451.3353	464.5885	1808.3584	1235.8765	352.0512	1245.1128	532.0285	1086.9354	3376.2552	991.3888	1189.325	1205.9817	976.1398	1545.75	1344.5998	625.7041	842.5414
"MPV17"	1858.3096	2098.3936	1478.635	1094.2643	1860.6928	894.8748	1802.444	4134.3358	1004.0036	1246.236	2409.3325	1877.4381	1012.6635	4055.9575	1614.8274	1583.1407	1407.5369	1038.2182	3364.6409
"MPV17L2"	318.5268	622.49	292.8783	191.7706	380.2711	334.8864	144.8938	609.5238	239.7687	283.6328	481.9846	199.4051	270.853	684.5152	176.3954	1850.4449	477.8555	416.3272	533.7017
"MPZ"	1309.3411	22.0884	6700.8902	62.5935	10.5422	15.4339	6942.6826	311.2782	1440.3915	21.3696	140.5789	2237.1424	27.6295	11.5774	4503.6216	108.9901	12576.1461	100.5286	8240.3315
"MPZL1"	3199.759	2494.9799	4380.4154	2480.798	2879.1416	1175.0146	825.1382	1521.3033	5893.6833	1517.7271	3759.5983	683.8257	4051.91	2092.137	3045.164	2579.9625	2287.1018	1763.0644	1961.326
"MPZL2"	55.9766	41.1647	480.1187	139.1521	49.3223	61.7356	28.8042	55.6391	172.5979	79.6503	85.6468	59.892	86.6562	33.7675	203.6643	22.2753	37.6845	27.3854	43.0939
"MPZL3"	5.967	7.0281	29.0801	0.7481	4.8946	17.4723	12.8019	5.5138	13.3452	0.9713	5.9067	0.3523	2.0931	0	1.7043	0	0	0	2.2099
"MR1"	165.3725	422.6908	377.4481	115.4613	29.3675	178.509	661.6235	810.0251	158.363	140.8451	213.8216	322.0076	68.2365	39.5562	144.8658	48.5284	148.0186	161.5391	542.5414
"MRAS"	1557.1157	1435.743	866.4688	1881.2968	593.3735	3223.6459	1536.8054	1206.5163	293.5943	411.3647	721.205	206.4512	460.4919	449.59	1123.9881	890.2183	2073.0381	1444.1459	2459.116
"MRC1"	85.2436	382.5301	87.2404	217.9551	58.7349	820.6174	328.4841	214.5363	207.2954	1348.2273	109.8641	105.6918	400.6279	0.9648	228.8027	130.4699	62.9371	255.1348	386.1878
"MRC2"	590.7379	24809.2369	644.5104	80.2993	132.5301	1226.8492	166.1333	1452.1303	1449.7331	10602.2341	675.7236	44.7428	3089.0633	91.6546	1149.9787	681.7847	2586.6356	232.6025	2209.9448
"MRE11A"	387.574	83.3333	499.1098	754.6135	286.8976	299.9418	266.2205	130.8271	419.9288	356.9694	212.6403	551.0064	421.5594	221.4182	514.6996	273.6686	303.0303	174.7118	81.2155
"MREG"	2514.3639	170.6827	526.9436	2709.9277	1400.9789	3231.1852	4531.8039	339.3484	547.5712	199.6455	875.3692	806.7312	225.641	1042.7786	518.8453	2037.3749	1680.6177	2821.6241	458.5414
"MRFAP1"	2425.7475	3454.8193	6765.8754	6039.6509	3035.0151	2411.1823	6333.7213	2908.2707	6420.8185	10109.2763	5572.9474	6001.1785	5841.1303	7028.9436	7531.3166	4984.9045	8008.547	6046.2778	5161.326
