"Gene"	"TCGA_TCGA-D9-A148"	"TCGA_TCGA-DA-A3F2"	"TCGA_TCGA-EE-A2GS"	"TCGA_TCGA-EE-A3JI"	"TCGA_TCGA-ER-A2NF"	"TCGA_TCGA-ER-A2NG"	"TCGA_TCGA-FR-A3YN"	"TCGA_TCGA-FR-A3YO"	"TCGA_TCGA-FR-A69P"	"TCGA_TCGA-FR-A7U9"	"TCGA_TCGA-FR-A8YD"	"TCGA_TCGA-GN-A4U4"	"TCGA_TCGA-GN-A4U9"	"TCGA_TCGA-GN-A8LK"	"TCGA_TCGA-GN-A8LN"	"TCGA_TCGA-QB-AA9O"	"TCGA_TCGA-WE-A8K5"	"TCGA_TCGA-WE-AAA0"	"TCGA_TCGA-WE-AAA4"
"F5"	18.1853	126.506	612.1662	18.7032	18.0723	64.9388	167.588	1.5038	58.274	12.1418	4.1347	13.7399	602.8257	2.412	1236.8982	19.8887	9.324	46.1045	20.442
"F8"	388.148	106.4257	62.3145	76.0623	905.8735	318.2877	583.3634	71.6792	133.8968	80.6217	95.6999	178.6226	149.4505	201.6401	297.8355	71.5993	81.2005	121.3346	109.9558
"F8A1"	160.542	517.0683	200.5935	9.4763	386.6717	230.926	173.407	330.8271	73.8434	183.0986	334.3178	63.0628	137.7289	835.0217	237.7503	202.8648	253.3023	246.4685	491.1602
"FAAH"	64.7851	42.1687	23.1454	48.6284	200.3012	4.0769	4.9462	17.0426	6.6726	26.2263	80.3308	14.0922	62.3757	158.2248	27.2689	5.5688	10.101	128.6073	32.0442
"FAAH2"	0.5683	17.0683	0.8902	1.995	2.259	4.6593	2.9095	0	1.7794	2.914	17.72	2.8184	4.6049	0.4824	0	3.9777	3.108	2.0799	3.8674
"FABP3"	63.0802	932.7309	94.0653	23.6908	439.759	115.0262	113.762	158.396	53.8256	2045.6532	362.0791	133.1716	62.7943	1055.9575	70.7286	783.6149	74.5921	247.1618	241.989
"FABP4"	2.5573	225.9036	22.8487	25.4364	3.3886	0	2.6186	0	478.2028	839.2424	2.9533	62.3581	34.3276	46.3097	8.9476	0.7955	30.6915	11.7861	59.6685
"FABP5"	97.7459	285.1406	155.4896	12.4688	57.9819	302.2714	66.046	155.8897	274.0214	537.154	233.9043	49.6751	173.731	132.1756	109.9276	1086.7187	186.4802	300.1993	166.8508
"FADD"	674.8448	783.1325	576.5579	440.1496	1167.1687	623.18	554.8443	3246.1153	522.6868	1074.7936	1138.2162	577.7817	302.2501	1124.9397	677.0345	1036.5992	699.6892	968.8881	1237.0166
"FADS1"	2613.8488	253.012	1557.1632	809.7257	2446.5361	1085.8969	763.1656	761.8947	1943.4831	763.8951	2401.6007	2165.7828	1545.5782	794.9831	712.2838	859.192	594.6193	360.8042	688.9503
"FADS2"	1422.1495	2367.4699	2278.1484	400.7481	456.3253	426.6249	148.9671	737.8546	1250.0222	394.9199	1724.8021	1190.6354	1266.7713	190.0627	2730.8351	675.4203	797.7661	249.3006	1381.768
"FADS3"	925.1768	424.6988	223.1454	778.3042	1080.1958	948.4566	421.2976	982.9574	141.4591	2118.0185	1070.8801	984.3426	178.3359	1051.616	431.6148	1536.2034	2006.6045	1751.9716	1406.0773
"FAF1"	1498.2976	630.5221	1202.6706	1228.1796	930.3464	607.4549	1584.5214	751.8797	573.3986	1151.0442	993.5027	1122.4466	1322.0304	1811.3845	1074.5633	2265.721	752.9138	1409.1342	736.4641
"FAF2"	1905.7618	973.8956	1815.4303	1695.5112	1233.0572	1800.5242	1479.197	1157.8947	1193.5053	1983.9728	2251.0337	1266.892	2472.8414	1798.8423	856.4124	543.3594	1186.8687	1225.7561	934.8066
"FAH"	1822.2231	1559.2369	1670.3264	472.5686	451.4307	1269.6564	977.0148	3859.6491	1181.9395	1517.2414	2156.5269	714.124	434.1183	4258.5625	639.5398	1132.8605	860.1399	1821.995	2548.6188
"FAHD2A"	1530.6902	562.249	401.4837	172.3192	1589.9849	494.1759	698.8653	1627.0677	406.1388	710.0534	1046.0721	434.0409	254.1078	1264.3512	254.7934	754.1796	988.7335	498.8301	738.674
"FAHD2B"	623.6987	177.7108	275.9644	273.5661	558.3584	21.5492	601.6875	1029.0727	55.605	44.6819	365.0325	334.3383	180.8477	372.4071	24.2863	91.488	456.0995	227.4027	233.7017
"FAIM"	110.2483	81.3253	113.3531	199.7506	181.0994	149.6797	113.4711	112.2807	146.3523	118.0185	82.1028	3.1708	158.6604	124.4573	141.8833	194.9093	213.2867	208.6836	54.6961
"FAIM2"	3.1256	18.0723	6.8249	1.4963	4.8946	13.1043	3.2005	12.0301	2.2242	14.5702	12.404	3.8754	14.2334	0.4824	16.617	10.3421	4.662	4.5065	37.0166
"FAIM3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM101A"	10.5134	127.51	36.2018	2.7431	3.7651	70.4718	15.4204	87.218	30.2491	57.3094	8.2693	0.3523	1.6745	2.412	17.043	29.4353	31.4685	4.1598	171.2707
"FAM101B"	1981.6286	1153.6145	304.451	573.0673	1296.3102	2143.2732	629.3279	1091.7293	1051.6014	713.9388	1632.0142	159.2423	300.5756	2643.9942	348.104	4835.3414	1634.0326	628.1307	1672.9282
"FAM102A"	3816.3541	3492.9719	367.9525	892.5187	4371.988	8746.3599	2924.3526	3618.5464	1271.7972	637.6882	3831.6598	1021.6871	695.3428	4613.1211	1496.3784	3194.1257	4186.8687	5443.106	2807.7348
"FAM102B"	1078.331	213.8554	776.2611	912.2195	308.7349	865.463	763.4565	223.5589	1604.5374	738.7081	67.3361	742.3085	529.5657	90.2074	748.1892	2555.3005	307.6923	1208.7703	149.7238
"FAM104A"	693.516	539.8896	459.3591	786.8728	590.5798	708.8876	1194.1868	548.5263	557.4466	1114.473	542.6108	499.1963	753.641	723.5311	637.5841	483.2796	538.2789	1105.4615	581.1492
"FAM104B"	222.4857	119.4779	145.6973	118.7032	150.9789	207.3384	256.0372	166.9173	84.0747	351.627	138.8069	133.5239	286.7609	402.7979	214.7422	199.6826	207.8477	202.4439	160.7735
"FAM105A"	60.2388	311.245	164.9852	40.1496	68.5241	218.6954	102.1239	9.5238	84.9644	265.6629	20.0827	19.3768	92.9356	6.7535	56.6681	84.3281	121.2121	45.4112	132.0442
"FAM106A"	0	0	4.451	0.7481	0	1.456	4.6552	1.0025	12.4555	0.4857	1.1813	27.8322	0	1.4472	2.5565	0.7955	0	0	0
"FAM107A"	19.8902	241.9679	62.6113	37.9052	118.2229	23.2964	22.1123	54.1353	136.121	22.8266	120.4962	52.1413	8.7912	26.5316	29.3992	26.2531	15.54	28.0787	111.0497
"FAM107B"	645.862	795.1807	113.9466	82.793	346.009	1182.5859	210.9398	223.5589	381.2278	654.2011	128.7655	98.6456	900.8896	181.3796	92.4585	1590.3007	325.1748	404.5411	283.4254
"FAM109A"	240.9551	1324.2972	110.089	107.7307	315.512	358.1829	155.659	711.7794	427.0463	534.2399	334.9084	131.7624	695.3428	842.2576	383.8943	380.272	430.8469	284.6001	613.2597
"FAM109B"	485.6041	1033.1325	516.0237	178.3042	820.7831	79.4991	458.2485	1452.1303	827.847	511.4133	3447.1353	545.0172	130.1936	329.9566	1619.5143	1440.7376	1224.1647	476.6444	822.6519
"FAM110A"	99.4508	808.2329	145.4006	72.3192	61.3705	147.0588	57.8993	277.6942	128.1139	317.1442	305.9657	49.6751	457.5615	312.1081	219.003	152.7452	166.2782	115.7813	475.6906
"FAM110B"	22.7316	220.8835	108.9021	9.7257	275.2259	40.4776	55.2808	59.1479	45.8185	148.6158	72.0614	8.103	385.5573	145.6826	213.464	11.1377	24.864	13.866	123.7569
"FAM111A"	561.4709	238.9558	1023.7389	969.8254	111.8223	942.3413	618.2717	181.9549	501.3345	1154.9296	169.5216	224.0665	473.888	601.0613	582.8718	966.591	864.4134	891.5851	447.5138
"FAM111B"	70.1839	14.0562	305.9347	446.1347	38.0271	232.0909	79.4297	37.0927	229.9822	538.1253	102.1855	179.3237	322.3443	154.3657	112.0579	194.9093	180.2642	189.2712	25.4144
"FAM114A1"	1717.9419	352.4096	241.543	8.7282	684.1114	1091.4386	1959.5578	359.8997	327.4021	1015.0559	426.4619	519.6512	139.8221	666.6667	722.1986	227.5268	498.0575	698.1541	429.2818
"FAM114A2"	1002.7484	259.0361	443.9169	247.6309	675.4518	667.152	806.8083	109.2732	330.516	223.8951	495.57	634.1506	649.2936	434.1534	257.3498	99.4435	416.0839	468.3248	196.1326
"FAM115A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM115C"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM117A"	623.4146	803.2129	93.4718	237.9052	394.5783	241.4094	377.364	279.6992	297.153	155.9009	342.5871	319.1891	470.1204	260.0096	261.1845	173.4295	170.1632	337.6376	373.4807
"FAM117B"	213.393	85.3414	419.5846	344.8878	114.0813	208.5032	485.5979	45.614	768.2384	91.7921	82.1028	247.3187	977.4987	65.123	396.2505	377.0898	254.4678	342.8373	70.1657
"FAM118A"	877.1562	247.992	297.6261	188.5287	311.3705	1133.3722	374.1635	285.7143	532.4733	248.6644	776.7277	304.04	374.2543	1015.4366	316.5744	859.192	334.8873	518.5891	172.3757
"FAM118B"	323.3572	165.6627	360.2374	376.808	120.1054	221.025	290.6605	403.0075	300.7117	598.3487	256.3497	337.1567	262.0617	149.0593	307.6268	215.5935	296.8143	233.6424	195.5801
"FAM120A"	3404.48	2843.3434	2886.8961	3050.6259	8344.4842	4659.9563	4722.9502	1376.6115	2926.5792	4050.306	2747.0408	4601.7983	2188.8394	2061.5292	2599.0499	2386.1193	3525.9907	4364.4683	1638.1436
"FAM120AOS"	844.9114	610.4719	636.546	452.616	1471.0279	729.0944	692.5284	692.5614	419.5062	434.3953	726.6745	600.7027	432.1968	575.7115	438.0187	752.318	697.0085	528.1567	434.7845
"FAM120B"	661.2059	624.498	475.0742	612.4688	314.006	1158.1246	949.9564	614.0351	511.5658	462.3604	327.8204	311.7907	391.8367	524.8432	394.5462	186.9538	571.8726	833.0011	642.5414
"FAM120C"	547.2636	129.5181	176.5579	237.4065	309.488	930.9843	848.7053	258.6466	241.1032	486.1583	301.2404	115.204	558.0324	155.8128	390.7115	340.4946	577.3116	165.6989	327.6243
"FAM122A"	274.4843	398.5944	318.9911	315.9601	971.3855	480.7804	592.959	242.1053	313.1673	277.3191	312.4631	418.8917	449.1889	353.5938	187.8994	309.4682	378.7879	317.8785	200.5525
"FAM122B"	503.2211	321.2851	681.0089	884.0399	850.1506	523.5877	963.6311	445.614	363.879	1025.255	329.5924	479.8406	1057.8755	649.3005	1305.9225	834.53	764.1803	608.3716	519.337
"FAM122C"	31.256	10.0402	42.1365	40.1496	47.8163	27.9557	27.3494	13.0326	16.4591	33.9971	18.9014	34.1737	60.2826	22.1901	32.8078	20.6843	23.6985	32.5851	14.3646
"FAM124A"	72.457	31.1245	58.1602	33.4165	134.4127	70.1805	72.4469	167.9198	24.0214	20.8839	163.0242	25.366	47.3051	301.9778	44.738	160.7007	40.7925	78.343	158.011
"FAM124B"	12.7865	44.1767	15.1335	9.4763	23.7199	9.0274	6.9828	18.5464	12.4555	28.169	7.088	9.5123	20.0942	1.9296	8.9476	2.3866	6.6045	4.5065	28.7293
"FAM126A"	674.5607	107.4297	757.8635	1660.0998	2272.5904	651.4269	989.5257	119.7995	2186.3879	1917.4356	1292.9711	1345.1039	891.2611	724.5538	1648.4874	527.4484	1773.8928	905.4511	344.1989
"FAM126B"	197.4809	91.3655	313.6499	701.995	197.6657	380.3145	574.3381	69.1729	377.2242	188.441	63.2014	374.1489	356.2533	142.3058	250.9587	313.446	247.8632	327.5847	85.6354
"FAM127A"	1532.9719	2266.9779	2331.1573	1316.2045	3483.2643	1146.5987	1541.8795	4959.8997	913.7189	5546.712	2342.7584	1091.6127	2000.6279	7155.1278	2734.8232	3056.7822	2544.864	2894.9926	6075.6906
"FAM127B"	1351.6787	1202.8112	802.9674	378.803	1768.4488	795.2825	729.4152	1706.7669	553.8256	1246.7217	1884.2292	917.7568	1527.5772	2635.3111	1586.2804	1373.116	1651.1267	1450.039	1637.5691
"FAM127C"	492.4236	464.8594	613.3531	15.4613	624.6235	171.8113	362.8164	146.8672	247.331	426.9063	807.4424	384.3657	574.359	480.4631	935.2365	474.9422	392.3854	334.5177	708.8398
"FAM129A"	2324.5918	1229.9197	415.1335	62.0948	3385.1657	621.7239	5768.9846	53.6341	205.0712	947.5474	185.4696	987.1611	128.1005	249.397	2292.288	858.3964	2661.6162	2637.6636	4418.232
"FAM129B"	3145.4873	4675.7028	4819.5846	4534.9127	7574.5482	10002.3296	5125.4001	9821.5539	5099.1993	18413.7931	10523.922	8662.4971	1252.5379	3835.9865	4498.9348	4669.0719	9718.7257	14381.4889	8166.2983
"FAM129C"	1.7049	10.0402	1.7804	2.4938	2.259	5.5329	3.2005	4.5113	0.4448	7.7708	2.9533	19.7291	1.6745	1.9296	5.1129	3.9777	1.1655	107.4617	10.4972
"FAM131A"	381.3229	297.1888	133.8279	364.5885	339.6084	828.7711	360.7797	1019.0476	362.9893	318.1156	556.9994	289.5954	404.8142	815.726	838.9433	446.3025	210.5672	387.9019	332.0442
"FAM131B"	10.5134	98.3936	6.8249	1.2469	2.259	20.9668	6.9828	8.5213	14.2349	9.2278	5.9067	1.7615	120.5651	4.3415	11.504	3.1822	8.9355	3.8132	13.2597
"FAM132A"	10.7975	0	0.8902	1.7456	0.753	6.1153	0.5819	3.0075	3.5587	6.7994	4.1347	1.0569	1.2559	4.8239	4.6868	12.7288	1.9425	0.6933	0.5525
"FAM133B"	58.5339	5.0201	45.1039	133.6658	65.1355	54.4554	109.9796	18.5464	199.2883	94.2205	37.8027	113.0902	263.7363	48.2393	73.7111	66.0305	140.6371	29.4653	9.9448
"FAM134A"	11799.9817	4313.253	2266.1721	4026.6833	5964.9849	3639.7787	6624.6727	6435.0877	2313.6121	2076.7363	4274.0697	2728.9614	1939.9267	5180.8973	2714.9553	4212.4273	2986.014	4574.3999	5981.2155
"FAM134B"	510.3248	62.249	154.8961	72.0698	80.1958	144.7292	243.8173	28.5714	81.4057	101.9913	47.2534	14.0922	23.4432	74.2885	273.5407	829.7567	24.4755	535.2284	24.8619
"FAM134C"	3466.2872	2993.9759	1960.8309	2418.4539	1573.0422	2278.3925	3122.7815	1961.9048	1221.9751	1226.3235	2262.2563	1352.15	1576.5568	3029.9083	1410.311	2659.5173	1682.9837	1981.4542	2605.5249
"FAM135A"	39.212	37.1486	243.0267	269.0773	58.7349	153.4653	235.3797	11.5288	184.1637	80.6217	27.1707	137.047	131.8681	73.3237	330.6349	41.3685	187.6457	180.6049	40.884
"FAM136A"	651.2608	652.6104	821.365	1393.7656	926.2048	653.7566	776.5493	1206.015	666.8149	1012.6275	775.5464	817.3497	1274.7253	1096.4785	863.6557	741.4508	1064.1026	897.1315	588.9503
"FAM13A"	218.8628	146.8876	533.0653	116.4539	528.9834	146.2231	607.6084	64.8972	434.4395	265.9009	314.5895	430.9124	600.921	27.7231	686.6723	80.0799	337.4631	440.1317	137.4475
"FAM13B"	659.1828	203.8153	1208.2908	828.1671	667.1687	612.1025	864.9985	31.5789	1273.5632	490.0097	382.1618	703.9072	1036.0816	221.9006	1708.1807	287.9884	1381.0956	978.5527	113.8122
"FAM13C"	21.9133	23.0924	14.4006	8.1845	4.7327	3.4158	1.4548	6.1905	55.8897	292.6421	3.544	6.1477	34.1266	0.4824	11.8066	5.9348	8.8578	6.5621	6.232
"FAM149A"	162.2469	93.3735	378.635	254.1147	337.7259	176.4706	294.1519	195.99	220.6406	25.255	372.1205	608.08	73.2601	71.3941	224.542	101.8302	834.8873	174.0185	223.2044
"FAM149B1"	508.0516	125.502	113.0564	412.9676	931.4759	202.0967	370.0902	114.787	411.032	199.1258	399.2912	635.2075	386.8132	256.6329	409.0328	289.5795	213.6752	339.0242	106.0773
"FAM151A"	0.8553	0	0	0	0.738	0	1.2889	0	0	0	0	10.8827	0.921	0.9696	0	4.3039	0.7304	39.9099	0.9724
"FAM151B"	12.2182	8.0321	27.5964	52.8678	16.9428	7.2801	14.8385	5.5138	5.3381	44.6819	8.86	1.7615	15.4893	11.5774	8.9476	9.5466	33.411	27.0387	9.3923
"FAM154B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM156A"	231.01	393.5743	316.3205	574.813	188.253	513.9779	533.023	488.7218	349.6441	885.8669	269.935	652.1182	2924.9608	826.3386	1456.7533	604.6166	970.0855	576.8264	250.2762
"FAM156B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM159A"	2.2732	105.4217	1.7804	0.7481	6.0241	8.1538	2.0367	3.5088	1.3345	12.1418	1.772	4.2277	37.258	0.9648	2.5565	17.5021	5.0505	10.7462	27.0718
"FAM160A1"	33.5291	1.004	5.3412	0.2494	92.244	449.3302	82.0483	14.0351	1.3345	2.4284	12.9947	6.6938	27.6295	17.3661	1.7043	0	0	9.7062	0.5525
"FAM160A2"	639.6108	636.5462	586.3501	736.409	448.0422	888.1771	666.5697	895.7393	327.4021	526.9548	453.0419	658.812	352.9042	791.124	563.2723	768.4995	432.7894	823.6416	618.232
"FAM160B1"	528.7942	215.8635	362.908	854.3641	780.1205	646.7676	540.0058	85.213	400.3559	293.832	329.0018	1034.3701	508.2156	278.823	609.7145	423.2316	449.4949	567.4669	188.9503
"FAM160B2"	999.6228	1948.7952	366.7656	798.2544	501.1295	1328.4799	771.3122	2293.2331	871.4413	1198.6401	2331.3644	1111.8774	1210.2564	1573.5649	1863.2297	588.7056	1559.8291	525.8688	1572.3757
"FAM161A"	232.9991	23.0924	106.2315	188.2793	370.4819	95.5154	367.4716	15.0376	232.6512	152.9869	46.0721	277.2647	509.4715	193.4395	208.7772	223.549	201.2432	153.2195	29.8343
"FAM161B"	185.257	23.0924	59.5549	99.7506	118.1664	77.1695	129.7294	30.5764	65.8363	53.8465	33.668	85.9168	45.6306	20.4438	41.7554	11.1377	26.0295	66.9347	29.2818
"FAM162A"	1355.0884	437.751	693.7685	510.9726	826.0542	668.608	633.9831	1882.2055	581.8505	716.3672	619.6102	830.7373	803.7677	1833.5745	682.9996	930.7913	696.5812	714.7933	466.8508
"FAM162B"	4.2622	20.0803	4.451	2.7431	2.6355	0.2912	1.7457	4.01	13.79	7.2851	7.088	5.6369	3.349	6.2711	2.1304	1.5911	7.77	3.1199	2.2099
"FAM166A"	0	0	0	0	1.1295	0	0.291	0	0	1.4619	0	2.822	0	0.9648	1.2782	0	1.1694	0.6933	0
"FAM166B"	2.2732	0	0	0	1.8825	1.7472	0.291	0	1.7794	6.7994	40.1654	1.0569	0.8373	0.9648	0	11.1377	0.777	1.3866	1.105
"FAM167B"	2009.1907	137.5502	565.8754	98.005	607.3042	2716.657	1112.8891	2391.9799	299.8221	155.4153	1878.9132	1887.6549	20.5128	1167.3903	208.7772	1727.9305	4106.8376	1283.6468	2276.2431
"FAM168A"	442.4141	257.0281	213.6499	358.1047	376.1295	180.8387	191.446	436.0902	137.9004	139.8737	262.847	320.2461	114.2857	84.4187	251.3847	23.8664	263.7918	187.5379	188.3978
"FAM168B"	2541.9629	1964.8594	3580.1187	4308.4788	2774.4729	2520.3844	4418.97	1260.1504	5099.6441	1864.4973	2571.7661	4463.7156	4270.853	2834.5393	3613.5492	2634.0598	4167.8322	2543.028	1797.2376
"FAM169A"	183.8419	1.004	165.8754	80.0499	55.7229	137.449	72.1559	6.015	35.5872	15.5415	3.544	12.683	447.5144	43.8977	21.3038	40.573	28.749	122.3676	0.5525
"FAM171A1"	49.1571	733.9357	49.2582	9.7257	20.3313	39.604	22.1123	70.1754	88.0783	764.9344	55.5227	29.946	1499.529	171.2494	23.8602	21.4798	72.6496	60.6638	99.4475
"FAM171A2"	170.203	231.9277	70.3264	83.7905	10.1657	32.615	4.6552	123.3083	252.2242	27.6833	150.6202	25.366	712.0879	151.4713	18.3213	14.3199	47.0085	3.1199	37.5691
"FAM171B"	116.2154	25.1004	247.7745	52.1197	18.4488	63.774	158.2776	36.5915	128.1139	99.5629	4.7253	20.4337	374.2543	41.9682	112.9101	48.5284	50.5051	126.5274	24.8619
"FAM172A"	265.6758	159.6386	625.816	506.2344	141.1898	168.8992	479.197	59.1479	314.9466	187.4696	144.7135	268.4571	847.7237	216.1119	724.755	267.3042	440.9479	583.4128	113.8122
"FAM173A"	179.8639	506.0241	182.1958	67.581	208.2078	76.5871	68.6645	135.3383	205.516	332.2001	420.5552	152.1961	36.8394	473.2272	215.1683	553.7015	244.3667	194.8176	382.3204
"FAM173B"	380.4704	100.4016	169.1395	84.788	95.6325	94.933	192.9008	79.6992	85.4093	286.5469	164.7962	160.6515	298.0638	130.7284	205.3686	190.9315	143.7451	161.8858	66.8508
"FAM174A"	290.6805	162.6506	226.7062	260.8479	315.8886	240.2446	318.0099	98.2456	113.879	333.1714	265.2097	195.1775	294.7148	188.1331	218.5769	388.2275	328.6713	542.8547	129.2818
"FAM174B"	1407.3712	584.3373	1977.1513	101.7456	2773.7199	295.2825	636.6017	1402.005	1458.1851	675.5707	3132.9002	494.9898	92.0984	3137.4819	427.3541	408.1162	302.2533	290.8398	506.0773
"FAM175A"	156.2941	56.8173	155.2226	383.2319	419.2733	98.3634	216.4533	8.7068	399.2927	139.6503	67.6964	481.0525	438.0534	30.2171	234.3332	58.7433	185.4235	195.8506	33.5304
"FAM175B"	265.1075	173.6948	254.5994	398.7531	449.1717	292.3704	276.1129	54.1353	379.8932	347.7416	220.9096	456.9407	388.4877	236.8548	420.1108	317.4237	198.1352	478.3777	148.0663
"FAM177A1"	623.6987	153.6145	358.457	919.202	469.8795	985.7309	1211.8126	125.3133	459.5196	529.8689	323.6858	870.9002	483.9351	530.1495	559.0115	890.2183	548.5625	1621.631	396.6851
"FAM178A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM178B"	642.4523	6.0241	786.6469	0.2494	1119.3524	21.258	899.0399	45.614	504.0036	1111.219	163.6149	469.2714	270.853	91.6546	1.7043	914.8803	1958.042	718.2598	514.9171
"FAM179A"	9.3768	84.3373	4.451	2.2444	20.7078	35.2359	9.6014	0.5013	5.7829	14.5702	56.1134	1.7615	7.954	0.9648	2.9825	11.1377	3.885	3.1199	46.4088
"FAM179B"	383.0277	62.249	420.4748	440.399	317.3946	498.2528	476.2875	28.0702	655.694	274.4051	141.1695	423.1194	465.9341	186.2036	388.1551	172.6339	321.6783	353.5835	83.4254
"FAM182B"	2.8415	10.0402	3.5608	3.2419	0.3765	5.5329	0.8729	27.5689	10.2313	12.1418	52.5694	1.0569	153.6368	4.3415	4.2608	1.5911	1.1655	20.799	14.3646
"FAM184A"	37.223	5.0201	6.8249	13.7157	28.6145	14.8515	130.0553	0	42.7046	2.4284	4.7253	1.4092	38.5139	103.232	1.2782	89.8969	2.331	128.954	0.5525
"FAM184B"	0.8809	3.5341	3.8783	0.798	0.7944	0.2941	2.7058	0	11.3701	0.5245	8.2221	0.3699	2.7336	30.8008	39.8125	0	0.8314	15.3705	1.1657
"FAM185A"	86.096	11.0442	91.6914	61.8454	53.4639	59.9884	128.3096	37.594	99.6441	85.4784	89.1908	87.0196	141.078	60.7815	115.8926	120.1278	154.2347	33.6251	33.1492
"FAM186B"	68.479	1.004	21.9585	6.9825	70.4066	21.258	46.2613	33.584	63.1673	5.3424	21.264	30.2983	40.607	20.2605	27.2689	17.5021	16.7055	4.1598	36.4641
"FAM188A"	549.5368	95.3815	184.273	397.2569	432.2289	308.6779	298.8071	81.203	441.2811	312.7732	94.5068	562.2802	375.9288	377.2311	368.5556	529.0395	516.7055	383.3954	111.0497
"FAM189A2"	190.9456	6.0241	170.0297	1112.9676	1964.2319	76.2959	125.4001	97.7444	7.1174	3.8854	949.7933	631.3321	3.349	459.2378	291.0098	210.0247	845.3768	643.3833	138.674
"FAM189B"	1513.6415	876.506	1341.8398	1060.0998	765.8133	657.251	1635.7288	2615.5388	1778.4698	964.5459	3347.9031	1302.1226	1774.5683	2000.9648	1632.7226	2040.5809	1535.3535	1343.2706	3230.9392
"FAM192A"	605.2293	1078.3133	1090.5045	651.1222	1504.8946	1290.6232	939.7731	813.5338	1282.9181	1423.9922	766.6864	1400.4159	1931.1355	1471.2976	1581.5935	1535.4079	1059.4406	1324.5515	994.4751
"FAM193B"	457.1896	555.2209	516.6172	1283.2918	407.756	353.2324	354.6698	175.9398	565.8363	848.9558	1088.0095	777.8914	1644.3747	1019.2957	608.0102	369.9299	1167.4437	665.5689	242.5414
"FAM195A"	505.2102	1225.9036	305.0445	142.8928	482.6807	511.6482	164.0966	1370.4261	212.1886	327.829	496.7513	251.8987	202.6164	1459.2378	439.7103	1003.1862	341.1033	848.2537	935.3591
"FAM195B"	4736.4163	4881.5261	3547.7745	1949.8753	2280.497	1112.1142	2477.4513	4046.1153	2009.3416	2968.9169	4616.0662	1963.0484	1652.7473	6092.6194	2036.6425	2561.6649	2662.7817	4882.9188	4833.7017
"FAM196A"	0.2841	1.004	0.2967	0.2494	0.753	1.7472	2.0367	0	4.0036	72.8509	0.5907	1.4092	1.6745	0.9648	2.1304	0	1.1655	4.5065	1.105
"FAM198B"	229.5893	980.9237	2243.6202	8714.9626	116.7169	372.7432	215.0131	254.6316	9098.3096	860.6119	941.5239	332.2245	5574.8823	18.3309	250.9587	1235.4862	2405.2059	170.2054	724.8619
"FAM199X"	566.3014	121.4859	425.5193	741.3965	488.3283	708.5032	679.3715	218.5464	303.8256	345.3133	213.231	525.6404	184.6154	346.3579	348.53	260.1442	281.6628	313.7187	341.989
"FAM200A"	143.2092	32.1285	222.8487	211.2219	231.5512	142.9819	299.0981	49.1228	305.1601	136.9597	125.8122	188.4836	842.7002	228.1717	269.2799	324.5836	263.0148	96.7155	50.8287
"FAM20A"	336.1438	2319.2771	101.1869	64.0898	27.1084	294.7001	64.0093	105.2632	119.2171	908.2079	132.3095	17.263	61.1198	10.1302	105.6668	338.9035	396.6589	91.1691	676.2431
"FAM20B"	1481.533	247.992	1690.8012	2112.7182	2049.3223	1799.6506	2990.1077	303.7594	2587.6335	642.5449	1172.4749	2400.26	1366.8237	1084.9011	2112.0579	964.2043	1806.1383	2058.064	561.8785
"FAM20C"	208.2784	6740.9639	648.0712	324.1895	458.9608	548.3401	150.7128	570.4261	363.879	1877.6105	672.1796	479.4883	233.595	552.822	976.5658	994.4351	2458.4305	982.0608	1457.4586
"FAM21A"	763.7823	433.7349	293.4718	367.581	1150.2259	647.35	268.5482	109.2732	501.3345	171.4424	380.9805	307.9153	185.8713	294.7419	576.0545	112.8087	88.9666	546.6678	375.1381
"FAM21C"	1388.9017	963.8554	950.1484	1286.0349	1619.3524	1593.1858	1206.8665	299.7494	1308.7189	702.7683	922.0319	1686.8406	1219.8849	1218.5239	1275.245	887.0361	918.4149	1307.9123	767.9558
"FAM26E"	29.8352	155.6225	79.2285	13.7157	9.4127	35.2359	10.4743	22.5564	54.2705	76.2506	21.8547	10.2169	29.304	13.0246	22.1559	5.5688	37.296	22.5323	43.0939
"FAM26F"	55.6925	259.0361	183.0861	50.3741	53.4639	655.5038	123.0724	31.0777	26.2456	388.0525	14.176	29.2414	104.2386	28.4612	126.9706	330.1525	225.3302	94.2889	1567.9558
"FAM32A"	900.172	1557.2289	1486.3501	1516.2095	1334.3373	1454.2807	1027.9313	986.4662	1468.8612	2321.5153	1219.7283	1457.4895	2291.9937	1755.4269	2553.0464	2571.2115	1813.9083	1607.4183	1427.0718
"FAM35A"	251.1844	149.5984	310.9792	638.404	346.762	300.5242	270.0029	33.0827	612.5445	419.6212	88.0095	504.1497	642.1769	216.1119	455.049	509.1508	349.2618	508.8829	84.5304
